#,,base:cevent_inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,,cont_vision_size_obj#_parent,,,,cevent_inhand_child,,,,,,cevent_inhand_parent,,,,,,cevent_eye_joint-attend_both,,,,,,cevent_eye_joint-attend_child-lead-moment_both,,,,,,cevent_eye_joint-attend_parent-lead-moment_both,,,,,,cstream_vision_largest-obj_child,,,,,,cstream_vision_largest-obj_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,,individual_mean,,individual_median,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,30,31.567,15,1,1,1,0,1.5667,0,38.298,0,0,0.57447,0,0.9,0,38.298,0.18986,0.055687,0.18895,0.056184,0,0,0,0,1,0,1.5667,0,38.298,0,0,1.0213,0,0.8,0,76.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97872,0.021277,0.76667,0.033333,76.596,38.298,0,0,0,0,0,0
1201,12,43.433,57.567,9,1,2,0.14623,0.6533,2.0667,2.3083,4.2453,16.981,0,0.51179,0,0.90417,0,33.962,0.092028,0.033659,0.11158,0.032939,0,0,0,0,1.1439,0.39858,8.0833,2.8167,8.4906,8.4906,0.099057,1.559,0.7,4.4067,8.4906,21.226,0,0.30401,0,2.1483,0,8.4906,0,0.30401,0,2.1483,0,8.4906,0,0,0,0,0,0,0.073113,0.92689,0.34444,0.20794,12.736,267.45,0,0,0,0,0,0
1201,12,43.533,45.567,9,1,3,0.96721,0,1.9667,0,29.508,0,0,0.57377,0,1.1667,0,29.508,0.13797,0.033121,0.12126,0.031122,0,0,0,0,2,0,2.0333,0,59.016,0,0.59016,0.22951,0.6,0.46667,59.016,29.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45902,0.54098,0.31111,0.15714,88.525,206.56,0,0,0,0,0,0
1201,12,46.3,50.5,12,1,4,0.61905,0.37302,2.6,1.5667,14.286,14.286,0,0.5873,0,0.61667,0,57.143,0.011479,0.031332,0.0090755,0.030758,0,0,0,0,1,1,4.2,4.2,14.286,14.286,0,1.7857,0,1.875,0,57.143,0,0.15,0,0.63,0,14.286,0,0.15,0,0.63,0,14.286,0,0,0,0,0,0,0,1,0,0.175,0,342.86,0,0,0,0,0,0
1201,12,56.133,58.2,21,1,5,1,0,2.0667,0,29.032,0,0.56452,0.14516,0.38889,0.3,87.097,29.032,0.19266,0.034812,0.12412,0.029231,0,0,0,0,1.1774,0.69355,1.2167,1.4333,58.065,29.032,0.80645,0,0.83333,0,58.065,0,1,0,2.0667,0,29.032,0,1,0,2.0667,0,29.032,0,0,0,0,0,0,0,0.72581,0.27419,0.75,0.080952,58.065,203.23,0,0,0,0,0,0
1201,12,57.833,58.233,21,1,6,1,0,0.4,0,150,0,0.91667,0,0.36667,0,150,0,0.27735,0.069494,0.32306,0.070471,0,0,0,0,1.9167,0,0.38333,0,300,0,0,0,0,0,0,0,1,0,0.4,0,150,0,1,0,0.4,0,150,0,0,0,0,0,0,0,0.83333,0.16667,0.33333,0.066667,150,150,0,0,0,0,0,0
1201,12,58.767,58.9,21,1,7,1,0,0.13333,0,450,0,0.75,0,0.1,0,450,0,0,0.048861,0,0.045849,0,0,0,0,1,0,0.13333,0,450,0,0,0,0,0,0,0,0.775,0,0.10333,0,450,0,0.775,0,0.10333,0,450,0,0,0,0,0,0,0,0,1,0,0.13333,0,450,0,0,0,0,0,0
1201,12,60.2,63.733,21,1,8,0.24528,0.74528,0.86667,2.6333,16.981,16.981,0.23585,0,0.83333,0,16.981,0,0.28329,0.04678,0.24771,0.046153,0,0,0,0,1.9528,0,3.45,0,33.962,0,0.77358,0,0.54667,0,84.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65094,0.34906,1.15,0.13704,33.962,152.83,0,0,0,0,0,0
1201,12,60.233,63.6,21,1,9,0.24752,0.74257,0.83333,2.5,17.822,17.822,0.20792,0,0.7,0,17.822,0,0.28023,0.046216,0.24044,0.04457,0,0,0,0,2,0,3.3667,0,35.644,0,0.72277,0,0.48667,0,89.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67327,0.32673,1.1333,0.1375,35.644,142.57,0,0,0,0,0,0
1201,12,63.767,63.933,21,1,10,0,1,0,0.16667,0,360,1,0,0.16667,0,360,0,0,0.024935,0,0.022331,0,0,0,0,1,0,0.16667,0,360,0,2,0,0.16667,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16667,0,360,0,0,0,0,0,0
1201,12,65.733,68.633,12,1,11,0.022989,0.85057,0.066667,2.4667,20.69,20.69,0,0.81609,0,1.1833,0,41.379,0.083462,0.051319,0.084219,0.050246,0,0,0,0,1,0,2.9,0,20.69,0,0,1.8621,0,2.7,0,41.379,0,0.45862,0,1.33,0,20.69,0,0,0,0,0,0,0,0.45862,0,1.33,0,20.69,0.11494,0.88506,0.33333,0.21389,20.69,248.28,0,0,0,0,0,0
1201,12,69.167,71.7,21,1,12,1,0,2.5333,0,23.684,0,0.93421,0,2.3667,0,23.684,0,0.13498,0.031256,0.17397,0.029952,0,0,0,0,1.9474,0,2.4667,0,47.368,0,1.0921,0,1.3833,0,47.368,0,0.93158,0,2.36,0,23.684,0,0.93158,0,2.36,0,23.684,0,0,0,0,0,0,0,0.30263,0.69737,0.25556,0.22083,71.053,189.47,0,0,0,0,0,0
1201,12,69.3,85.133,21,1,13,0.72632,0,3.8333,0,11.368,0,0.62105,0,4.9167,0,7.5789,0,0.3571,0.038424,0.34686,0.037431,0,0,0,0,1.9768,0,10.433,0,11.368,0,0.75579,0,2.3933,0,18.947,0,0.58295,0,4.615,0,7.5789,0,0.58295,0,4.615,0,7.5789,0,0,0,0,0,0,0,0.54105,0.45895,1.2238,0.24222,26.526,113.68,0,0,0,0,0,0
1201,12,72.067,85.133,21,1,14,0.66837,0,2.9111,0,13.776,0,0.54337,0,3.55,0,9.1837,0,0.39412,0.040143,0.40229,0.039394,0,0,0,0,2,0,13.067,0,9.1837,0,0.68622,0,2.2417,0,18.367,0,0.4977,0,3.2517,0,9.1837,0,0.4977,0,3.2517,0,9.1837,0,0,0,0,0,0,0,0.57908,0.42092,1.5133,0.25,22.959,101.02,0,0,0,0,0,0
1201,12,94.467,95.267,15,1,15,1,0,0.8,0,75,0,0,0.95833,0,0.76667,0,75,0.09355,0.056095,0.11455,0.050037,0,0,0,0,1,0,0.8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333,0.66667,0.26667,0.10667,75,375,0,0,0,0,0,0
1201,12,111.87,114.07,19,1,16,0.045455,0.83333,0.1,1.8333,27.273,27.273,0.33333,0.10606,0.73333,0.23333,27.273,27.273,0.05278,0.061951,0.055293,0.048688,0,0,0,0,1,0,2.2,0,27.273,0,0.51515,0,1.1333,0,27.273,0,0.04697,0,0.10333,0,27.273,0,0,0,0,0,0,0,0.04697,0,0.10333,0,27.273,0,0,1,0,0.36667,0,163.64,0,0,0,0,0,0
