#,,base:cevent_vision_dom-joint-inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,43.433,43.767,9,1,1,1,0,0.3333,0,180.02,0,0,0,0,0,0,0,0.16184,0.026639,0.16168,0.026335
1201,12,43.8,44.167,9,1,2,1,0,0.3666,0,163.67,0,0,0,0,0,0,0,0.11494,0.032157,0.11505,0.0323
1201,12,56.133,56.867,21,1,3,1,0,0.7333,0,81.822,0,0.59098,0,0.43337,0,81.822,0,0.096324,0.016571,0.097646,0.014798
1201,12,60.2,60.6,21,1,4,1,0,0.4,0,150,0,0,0,0,0,0,0,0.39729,0.037782,0.37546,0.033605
1201,12,61.5,61.833,21,1,5,0,1,0,0.3333,0,180.02,0,0,0,0,0,0,0.21323,0.033811,0.21817,0.029876
1201,12,62.533,62.8,21,1,6,0,1,0,0.2667,0,224.97,0,0,0,0,0,0,0.16978,0.039942,0.14729,0.039136
1201,12,62.933,62.967,21,1,7,0,1,0,0.0333,0,1801.8,1,0,0.0333,0,1801.8,0,0.16189,0.080081,0.16189,0.080081
1201,12,69.167,69.6,21,1,8,1,0,0.4333,0,138.47,0,0.61543,0,0.26667,0,138.47,0,0.19406,0.032678,0.1975,0.030211
1201,12,70.867,71.033,21,1,9,1,0,0.1666,0,360.14,0,1,0,0.1666,0,360.14,0,0.16747,0.026985,0.15064,0.02727
1201,12,71.533,73.767,21,1,10,1,0,2.2333,0,26.866,0,1,0,2.2333,0,26.866,0,0.4237,0.029877,0.42304,0.028997
1201,12,73.8,73.933,21,1,11,1,0,0.1333,0,450.11,0,1,0,0.1333,0,450.11,0,0.71505,0.039131,0.71346,0.038455
1201,12,73.967,78.367,21,1,12,0.59849,0,2.6333,0,13.637,0,0.37879,0,1.6666,0,13.637,0,0.37803,0.031152,0.41353,0.034223
1201,12,79.633,79.867,21,1,13,1,0,0.2333,0,257.18,0,1,0,0.2333,0,257.18,0,0.26275,0.065154,0.2736,0.063543
1201,12,79.9,80.033,21,1,14,1,0,0.1333,0,450.11,0,1,0,0.1333,0,450.11,0,0.25503,0.055979,0.2621,0.055751
1201,12,80.5,81.267,21,1,15,1,0,0.7666,0,78.268,0,1,0,0.7666,0,78.268,0,0.3503,0.037549,0.33113,0.03644
1201,12,116.7,117.2,7,1,16,1,0,0.5,0,120,0,0,0,0,0,0,0,0.14532,0.032622,0.14462,0.03187
1201,12,163.2,164.33,17,1,17,1,0,1.1333,0,52.943,0,1,0,1.1333,0,52.943,0,0.29927,0.02967,0.30773,0.02785
1201,12,166.17,166.53,17,1,18,1,0,0.3666,0,163.67,0,1,0,0.3666,0,163.67,0,0.1327,0.030043,0.13367,0.029615
1201,12,166.57,167.67,17,1,19,1,0,1.0999,0,54.55,0,1,0,1.0999,0,54.55,0,0.16315,0.026027,0.17652,0.02492
1201,12,167.77,168.97,17,1,20,1,0,1.1999,0,50.004,0,1,0,1.1999,0,50.004,0,0.14874,0.03198,0.15055,0.03241
1201,12,178.1,179.47,17,1,21,1,0,1.3666,0,43.905,0,0.7073,0,0.9666,0,43.905,0,0.30603,0.033714,0.29124,0.032855
1201,12,179.5,179.97,17,1,22,1,0,0.4666,0,128.59,0,1,0,0.4666,0,128.59,0,0.19408,0.028819,0.20058,0.027672
1201,12,180,180.67,17,1,23,1,0,0.6666,0,90.009,0,1,0,0.6666,0,90.009,0,0.15329,0.033078,0.11972,0.033426
