#,,base:cevent_eye_joint-attend_both,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,,cont_vision_size_obj#_parent,,,,cevent_inhand_child,,,,,,cevent_inhand_parent,,,,,,cevent_eye_joint-attend_both,,,,,,cevent_eye_joint-attend_child-lead-moment_both,,,,,,cevent_eye_joint-attend_parent-lead-moment_both,,,,,,cstream_vision_largest-obj_child,,,,,,cstream_vision_largest-obj_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,,individual_mean,,individual_median,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,33.54,34.77,12,1,1,0.99729,0,1.2267,0,48.78,0,1,0,1.23,0,48.78,0,0.15289,0.0469,0.15644,0.039802,0,0,0,0,0,0,0,0,0,0,1.0217,0,0.62833,0,97.561,0,1,0,1.23,0,48.78,0,1,0,1.23,0,48.78,0,0,0,0,0,0,0,0.75881,0.2439,0.93333,0.1,48.78,146.34,0,0,0,0,0,0
1201,12,41.6,42.5,9,1,2,1,0,0.9,0,66.667,0,1,0,0.9,0,66.667,0,0.22302,0.046317,0.23205,0.045676,0,0,0,0,0,0,0,0,0,0,1,0,0.9,0,66.667,0,1,0,0.9,0,66.667,0,1,0,0.9,0,66.667,0,0,0,0,0,0,0,1,0,0.9,0,66.667,0,0,0,0,0,0,0
1201,12,49.87,52.47,21,1,3,0.99872,0,2.5967,0,23.077,0,1,0,2.6,0,23.077,0,0.03625,0.034036,0.033945,0.03323,0,0,0,0,0,1.2423,0,1.615,0,46.154,1.9244,0.024359,2.5017,0.063333,46.154,23.077,1,0,2.6,0,23.077,0,1,0,2.6,0,23.077,0,0,0,0,0,0,0,0.012821,0.98718,0.033333,0.36667,23.077,161.54,0,0,0,0,0,0
1201,12,55.87,58.87,21,1,4,1,0,3,0,20,0,0.69889,0.1,0.69889,0.3,60,20,0.17659,0.037164,0.11435,0.041293,0,0,0,0,0.85667,0.56556,0.85667,1.6967,60,20,0.73111,0,1.0967,0,40,0,1,0,3,0,20,0,1,0,3,0,20,0,0,0,0,0,0,0,0.57778,0.42222,0.86667,0.18095,40,140,0,0,0,0,0,0
1201,12,66.17,67.5,21,1,5,1,0,1.33,0,45.113,0,1,0,1.33,0,45.113,0,0.03486,0.052833,0.040588,0.05055,0,0,0,0,0,1,0,1.33,0,45.113,2,0,1.33,0,90.226,0,1,0,1.33,0,45.113,0,0,0,0,0,0,0,1,0,1.33,0,45.113,0,0,0.97744,0,0.21667,0,270.68,0,0,0,0,0,0
1201,12,69.34,75.64,21,1,6,1,0,6.3,0,9.5238,0,0.99894,0,6.2933,0,9.5238,0,0.40952,0.033227,0.46731,0.033018,0,0,0,0,1.9418,0,4.0778,0,28.571,0,1.037,0,3.2667,0,19.048,0,1,0,6.3,0,9.5238,0,1,0,6.3,0,9.5238,0,0,0,0,0,0,0,0.70899,0.29101,0.89333,0.18333,47.619,95.238,0,0,0,0,0,0
1201,12,78.54,81.47,21,1,7,0.99886,0,2.9267,0,20.478,0,1,0,2.93,0,20.478,0,0.31144,0.045284,0.31157,0.042646,0,0,0,0,2,0,2.93,0,40.956,0,0.67122,0,1.9667,0,20.478,0,1,0,2.93,0,20.478,0,1,0,2.93,0,20.478,0,0,0,0,0,0,0,0.45506,0.54608,0.66667,0.26667,40.956,122.87,0,0,0,0,0,0
1201,12,87.7,88.8,6,1,8,1,0,1.1,0,54.545,0,1,0,1.1,0,54.545,0,0.037056,0.068661,0.037809,0.065717,0,0,0,0,0,0,0,0,0,0,1,0.30303,1.1,0.33333,54.545,54.545,1,0,1.1,0,54.545,0,0,0,0,0,0,0,1,0,1.1,0,54.545,0,0,1,0,0.275,0,218.18,0,0,0,0,0,0
1201,12,90.67,91.7,6,1,9,1,0,1.03,0,58.252,58.252,1,0,1.03,0,58.252,0,0.041495,0.078706,0.040814,0.080429,0,0,0,0,0,0,0,0,0,0,0,1.1942,0,0.615,0,116.5,1,0,1.03,0,58.252,0,1,0,1.03,0,58.252,0,0,0,0,0,0,0,0,0.97087,0,0.5,0,116.5,0,0,0,0,0,0
1201,12,98.74,99.87,12,1,10,1,0,1.13,0,53.097,0,0.43658,0,0.24667,0,106.19,0,0.11026,0.052772,0.11301,0.053725,0,0,0,0,0,0,0,0,0,0,0.46608,1,0.52667,1.13,53.097,53.097,1,0,1.13,0,53.097,0,0,0,0,0,0,0,1,0,1.13,0,53.097,0,0.26549,0.73746,0.3,0.092593,53.097,477.88,0,0,0,0,0,0
