subId,num_frame,num_roi,num_dom,num_overlap_match,num_overlap_mismatch,num_roi_not_dom,num_dom_not_roi,num_not_roi_and_not_dom
1504,4289,2205,1005,314,270,1621,421,1663
1505,4019,3002,1339,118,947,1937,274,743
1506,16594,9987,6386,3013,1944,5030,1429,5178
1507,14999,7784,7874,2868,1929,2987,3077,4138
1508,4813,1603,2135,208,332,1063,1595,1615
1509,18236,11952,7094,1770,3292,6889,2031,4253
1510,4001,2963,1503,563,603,1797,337,701
1511,20264,10604,8157,3186,1518,5900,3453,6207
1512,8949,5126,2086,638,577,3911,871,2952
1513,4081,2925,1046,198,560,2167,288,868
1514,14876,10512,7560,3688,2372,4452,1500,2864
1515,11063,8393,4785,865,2746,4782,1174,1496
1516,17844,9679,11113,3341,2754,3584,5018,3147
1517,14432,9930,8776,3980,2777,3173,2019,2483
1518,16096,12308,8981,4127,2886,5295,1968,1820
1519,14175,7360,8109,2506,2522,2332,3081,3734
1520,5592,4039,3016,1042,1181,1816,793,760
1521,9789,6099,6612,2802,1619,1678,2191,1499
1522,5282,1824,2675,386,750,688,1539,1919
1523,19317,10499,3603,775,1517,8207,1311,7507
1524,3502,2032,894,332,207,1493,355,1115
1525,15258,7385,7885,3721,1048,2616,3116,4757
1526,6068,4521,1623,576,776,3169,271,1276
1527,13734,4271,6030,772,809,2690,4449,5014
1528,15665,10951,6418,3009,1603,6339,1806,2908
1529,3934,2240,1301,326,530,1384,445,1249
1530,15418,9308,3400,1284,1311,6713,805,5305
1531,4349,2823,3364,1862,362,599,1140,386
1532,10125,5064,3166,1123,1114,2827,929,4132
1533,11899,8856,5882,3528,1120,4208,1234,1809
1534,8511,5236,3022,1038,1141,3057,843,2432
1535,8937,6789,5855,1838,2780,2171,1237,911
1536,11664,6656,4481,1492,1238,3926,1751,3257
1537,18060,8381,9402,4172,1045,3164,4185,5494
1538,10907,6574,5656,2687,1331,2556,1638,2695
1539,17211,13188,11456,6877,2405,3906,2174,1849
1540,6066,2257,3903,810,712,735,2381,1428
1541,11277,4967,5554,1776,1112,2079,2666,3644
1542,12519,6578,3727,1858,356,4364,1513,4428
1543,11196,6362,4808,2696,570,3096,1542,3292
1544,19349,14237,8716,4582,1869,7786,2265,2847
1545,12920,8294,6300,1548,2405,4341,2347,2279
1546,12995,4393,5429,1448,1024,1921,2957,5645
1547,15607,6562,8006,787,2233,3542,4986,4059
1548,10497,7610,5206,1768,2492,3350,946,1941
1549,9727,5057,3839,1166,988,2903,1685,2985
1550,18444,12611,11008,3642,4597,4372,2769,3064
1551,12593,3809,5876,1590,838,1381,3448,5336
1552,18398,6720,7901,2251,1293,3176,4357,7321
1553,18434,13820,7736,4151,2456,7213,1129,3485
1554,17050,10716,7445,2590,2240,5886,2615,3719
