subId,P(roi),P(largest),P(roi|largest),P(largest|roi),P(largest|child inhand),P(largest|parent inhand),P(roi|largest&child inhand),P(roi|largest&parent inhand),P(roi|largest&not inhand),P(largest&not inhand),P(largest&child inhand|roi),P(largest&parent inhand|roi),P(largest&not inhand|roi),P(largest&both inhand|roi),,,L+M+N-O,,P(largest|roi)
1201,0.758469725,1,0.371118745,0.489299352,0.463511483,0.295474712,0.830284788,0.682227682,0.07027027,0.548258908,0.318444188,0.221916348,0.050794778,0.101855963,,,0.489299352,,0.489299352
1202,0.726304903,1,0.342316584,0.471312505,0.567599498,0.308632918,0.55743463,0.625198098,0.104576835,0.475848643,0.358907781,0.066085937,0.068514951,0.022196164,,,0.471312505,,0.471312505
1203,0.712753477,1,0.271497477,0.383807508,0.241596088,0.386797318,0.691362486,0.525166667,0.043393915,0.547120273,0.14993338,0.246962928,0.033309821,0.046398621,,,0.383807508,,0.383807508
1204,0.484874187,1,0.177551597,0.366180758,0.167566525,0.446241135,0.494821634,0.270184361,0.103817114,0.674017529,0.125364431,0.123906706,0.144314869,0.027405248,,,0.366180758,,0.366180758
1205,0.777603542,1,0.336039111,0.432147094,0.23955692,0.35157072,0.574930362,0.645147499,0.186191285,0.651969376,0.122419929,0.179003559,0.156109134,0.025385528,,,0.432147094,,0.432147094
1206,0.868447866,1,0.426468923,0.491070265,0.288059701,0.417116986,0.899827288,0.821778711,0.065997437,0.530057738,0.271672533,0.305957502,0.04028158,0.126841351,,,0.491070265,,0.491070265
1207,0.72294046,1,0.427155197,0.590858059,0.585906157,0.18313554,0.603254937,0.774215553,0.050443081,0.340193634,0.487489976,0.091018444,0.023736969,0.013071371,,,0.589174018,,0.590858059
1208,0.756734469,1,0.314114898,0.415092626,0.325502364,0.302105263,0.645029505,0.668118467,0.101954509,0.6012232,0.258082092,0.139302579,0.081002543,0.067017799,,,0.411369415,,0.415092626
1209,0.790318119,1,0.495159059,0.626531327,0.269175109,0.524063154,0.697849462,0.606170599,0.296710118,0.445643154,0.227161358,0.292264613,0.167308365,0.066328316,,,0.62040602,,0.626531327
1210,0.808351457,1,0.289952153,0.358695652,0.256062692,0.241831683,0.719189413,0.538894575,0.093391589,0.637146585,0.187150237,0.113323289,0.073611709,0.015389582,,,0.358695652,,0.358695652
1211,0.793933682,1,0.156370491,0.393913231,0.366717813,0.41421061,0.732978319,0.702692308,0.04860912,0.597549482,0.207964602,0.197172458,0.036585366,0.047809195,,,0.393913231,,0.393913231
1212,0.831408521,1,0.397745483,0.478399575,0.405116279,0.348603626,0.829916352,0.805340829,0.080960249,0.568547273,0.336302007,0.152332846,0.055363552,0.068323807,,,0.475674598,,0.478399575
