subId,num_frame,num_roi,num_dom,num_overlap_match,num_overlap_mismatch,num_roi_not_dom,num_dom_not_roi,num_not_roi_and_not_dom,,,e+f+g+h+i,num_frame
1201,14847,11261,7174,4307,1894,5060,973,2613,,,14847,14847
1202,16438,11939,10881,4790,3671,3478,2420,2079,,,16438,16438
1203,17901,12759,7200,3573,2135,7051,1492,3650,,,17901,17901
1204,7074,3430,2575,750,887,1793,938,2706,,,7074,7074
1205,10841,8430,6673,3001,2461,2968,1211,1200,,,10841,10841
1206,8833,7671,4621,2884,1249,3538,488,674,,,8833,8833
1207,17249,12470,11415,6686,2357,3415,2360,2419,,,17237,17249
1208,14552,11012,8083,3548,3065,4381,1452,2088,,,14534,14552
1209,7230,5714,4650,2989,1098,1628,564,952,,,7231,7230
1210,11495,9292,4122,2009,1680,5603,433,1770,,,11495,11495
1211,11671,9266,5808,2778,2098,4390,932,1473,,,11671,11671
1212,18097,15046,11391,6012,3949,5064,1409,1642,,,18076,18097
1213,20958,12950,8713,3477,2590,6883,2646,5362,,,20958,20958
1214,13436,10598,8164,2614,4099,3885,1451,1387,,,13436,13436
1215,8415,5898,4231,1550,1614,2734,1067,1450,,,8415,8415
1216,12162,10133,6105,4450,1130,4553,525,1504,,,12162,12162
1217,17122,9444,8546,3505,1218,4721,3823,3855,,,17122,17122
1218,15241,12038,8996,4311,2986,4741,1699,1504,,,15241,15241
1219,14863,12000,9605,4015,4074,3911,1516,1347,,,14863,14863
1220,18208,12653,7264,2004,3245,7404,2015,3540,,,18208,18208
1221,9917,6090,4183,1600,1417,3073,1166,2661,,,9917,9917
1222,9034,8506,4561,2600,1707,4199,254,274,,,9034,9034
1223,18058,15058,9308,5525,2787,6746,996,2004,,,18058,18058
1224,14456,8616,8100,3000,2321,3295,2779,3061,,,14456,14456
1225,17266,14763,11890,7074,3325,4364,1491,1012,,,17266,17266
1226,18255,15154,12000,4765,5554,4835,1681,1420,,,18255,18255
1227,10705,9254,3940,1875,1708,5671,357,1094,,,10705,10705
1228,7814,5058,4463,1896,1161,2001,1406,1350,,,7814,7814
1229,14981,12080,369,100,193,11787,76,2825,,,14981,14981
1230,17040,13313,8890,2190,5036,6087,1664,2063,,,17040,17040
1231,13647,9892,7218,2988,2781,4123,1449,2306,,,13647,13647
1232,7781,4653,4517,1580,1489,1584,1448,1680,,,7781,7781
1233,9200,6698,3699,1510,1169,4019,1020,1482,,,9200,9200
1234,10495,8532,6203,2424,2953,3155,826,1137,,,10495,10495
1235,7203,5355,3069,1000,1561,2794,508,1340,,,7203,7203
1236,7648,5633,3022,752,1807,3074,463,1552,,,7648,7648
1237,9565,8036,4896,2788,1597,3651,511,1018,,,9565,9565
1238,7359,3956,2495,800,999,2157,696,2707,,,7359,7359
1239,11864,5911,4762,1954,850,3107,1958,3995,,,11864,11864
,,,,,,,,,,,,
,12792.84615,9501.589744,6507.74359,2966,2254.230769,4280.076923,1286.230769,2005.025641,,,,
