subId,num_roi,num_dom,num_child_inhand,num_parent_inhand,num_roi_dom,num_roi_child-inhand,num_roi_parent-inhand,num_dom_child-inhand,num_dom_parent-inhand,num_child-parent-inhand,num_roi_dom_child-inhand,num_roi_dom_parent-inhand,num_roi_child-parent-inhand,num_dom_child-parent-inhand,num_roi_dom_child-parent-inhand
1201,11261,7174,5398,6881,4307,8782,6615,3567,2777,2033,6399,5368,1888,1184,1067
1202,11939,10881,6639,459,4790,9947,6158,6757,875,672,7482,4787,380,310,250
1203,12759,7200,6247,4831,3573,7031,9859,2075,4141,1310,6548,6602,1060,582,519
1204,3430,2575,1007,493,750,4846,4246,612,969,508,3731,3528,369,97,63
1205,8430,6673,3414,2877,3001,3035,4336,1606,1857,443,3144,3472,354,323,214
1206,7671,4621,5712,2011,2884,5445,4688,1762,2225,1913,2675,2784,1913,780,739
1207,12470,11415,11833,1651,6686,9765,7337,8652,1016,327,9323,5508,319,137,137
1208,11012,8083,6970,1804,3548,7047,5788,3415,1687,1309,5484,4368,1199,709,585
1209,5714,4650,4191,3319,2989,3332,4097,1405,2040,2168,2559,2654,1010,438,294
1210,9292,4122,4811,2179,2009,5729,4985,1705,693,1301,3362,2675,1174,165,115
1211,9266,5808,2938,2111,2778,5363,5133,2208,2017,823,3829,3606,795,470,403
1212,15046,11391,8360,1965,6012,9481,6931,5277,2278,1736,7117,4788,1631,1008,917
1213,12950,8713,11391,3871,3477,9228,10543,3159,1624,1026,9177,8969,923,274,263
1214,10598,8164,7128,2973,2614,6947,5122,3673,913,1066,4303,3449,922,462,392
1215,5898,4231,4308,858,1550,3964,2855,1208,694,252,3310,2505,247,141,111
1216,10133,6105,7104,29,4450,8474,2706,4226,465,352,5540,2469,352,221,221
1217,9444,8546,8743,4129,3505,8252,9476,3137,2630,770,7909,8358,720,210,114
1218,12038,8996,4381,5410,4311,5713,8356,3124,3689,842,4362,5551,812,542,451
1219,12000,9605,6379,3160,4015,8714,4993,3536,801,716,5881,3538,706,357,354
1220,12653,7264,7407,2578,2004,8917,7639,1306,1141,855,5972,6214,791,232,218
1221,6090,4183,3902,1347,1600,6518,4265,1680,989,338,4599,3783,297,134,90
1222,8506,4561,3316,801,2600,4044,2186,2827,905,778,2485,948,753,516,278
1223,15058,9308,8575,3908,5525,6163,8860,3659,3749,922,5128,5784,859,586,559
1224,8616,8100,4820,2365,3000,6814,9434,2305,2399,1524,6644,7310,1414,698,545
1225,14763,11890,9677,5703,7074,8141,8849,4741,3960,1018,6581,5472,965,782,748
1226,15154,12000,3681,4450,4765,8051,6976,3654,2054,1302,5639,4368,1122,632,576
1227,9254,3940,5940,1237,1875,3231,4441,485,1514,457,1708,2659,448,105,88
1228,5058,4463,2804,278,1896,4571,3637,1904,598,533,3845,3171,422,273,215
1229,12080,369,143,10079,100,4631,8784,0,129,1008,2901,2977,939,0,0
1230,13313,8890,4168,3587,2190,6476,6952,1442,1204,1259,4180,4316,1165,228,149
1231,9892,7218,7868,7315,2988,6670,4363,2971,1124,1212,5702,4613,1140,603,589
1232,4653,4517,3334,1689,1580,3965,3095,1114,784,87,3689,3381,61,30,17
1233,6698,3699,3088,1464,1510,5322,5027,667,1688,2079,2912,3216,1623,412,353
1234,8532,6203,2819,1308,2424,4480,4638,789,1895,634,2479,3196,530,296,213
1235,5355,3069,3972,132,1000,2897,3930,1048,771,994,2243,2251,787,251,192
1236,5633,3022,3612,1203,752,3090,2840,395,805,213,2197,2329,91,75,54
1237,8036,4896,4049,1258,2788,3215,4508,1405,1751,539,2559,2909,539,327,304
1238,3956,2495,2595,698,800,3856,4342,810,218,259,3741,3548,259,91,74
1239,5911,4762,769,106,1954,8534,6227,1668,100,209,6456,5981,173,44,44
