subId,num_roi,num_dom,num_child_inhand,num_parent_inhand,num_roi_dom,num_roi_child-inhand,num_roi_parent-inhand,num_dom_child-inhand,num_dom_parent-inhand,num_child-parent-inhand,num_roi_dom_child-inhand,num_roi_dom_parent-inhand,num_roi_child-parent-inhand,num_dom_child-parent-inhand,num_roi_dom_child-parent-inhand
1201,11261,7174,5398,6881,4307,5760,4448,3567,2777,2033,3050,2123,1595,1184,1067
1202,11939,10881,6639,459,4790,6471,1860,6757,875,672,3975,537,335,310,250
1203,12759,7200,6247,4831,3573,3296,5996,2075,4141,1310,1535,2480,855,582,519
1204,3430,2575,1007,493,750,1518,800,612,969,508,293,315,310,97,63
1205,8430,6673,3414,2877,3001,1484,2534,1606,1857,443,988,1276,220,323,214
1206,7671,4621,5712,2011,2884,4667,3672,1762,2225,1913,1610,1838,1769,780,739
1207,12470,11415,11833,1651,6686,7453,2794,8652,1016,327,5772,830,278,137,137
1208,11012,8083,6970,1804,3548,4738,2777,3415,1687,1309,2374,1183,1053,709,585
1209,5714,4650,4191,3319,2989,2242,2932,1405,2040,2168,1107,1315,924,438,294
1210,9292,4122,4811,2179,2009,4038,3267,1705,693,1301,1306,538,659,165,115
1211,9266,5808,2938,2111,2778,3310,3009,2208,2017,823,1641,1457,637,470,403
1212,15046,11391,8360,1965,6012,7612,4199,5277,2278,1736,4505,1905,1326,1008,917
1213,12950,8713,11391,3871,3477,5195,3822,3159,1624,1026,1828,1185,823,274,263
1214,10598,8164,7128,2973,2614,5100,2885,3673,913,1066,1970,734,662,462,392
1215,5898,4231,4308,858,1550,2490,810,1208,694,252,916,259,202,141,111
1216,10133,6105,7104,29,4450,7112,678,4226,465,352,3752,451,319,221,221
1217,9444,8546,8743,4129,3505,4801,3013,3137,2630,770,1639,1548,489,210,114
1218,12038,8996,4381,5410,4311,3254,6227,3124,3689,842,1601,2759,669,542,451
1219,12000,9605,6379,3160,4015,6460,2760,3536,801,716,3154,725,652,357,354
1220,12653,7264,7407,2578,2004,5512,2813,1306,1141,855,782,845,690,232,218
1221,6090,4183,3902,1347,1600,3394,1237,1680,989,338,1011,410,184,134,90
1222,8506,4561,3316,801,2600,3703,1712,2827,905,778,2096,488,743,516,278
1223,15058,9308,8575,3908,5525,4351,6169,3659,3749,922,2411,3032,743,586,559
1224,8616,8100,4820,2365,3000,3222,4038,2305,2399,1524,1429,1819,952,698,545
1225,14763,11890,9677,5703,7074,7286,6681,4741,3960,1018,4353,3174,944,782,748
1226,15154,12000,3681,4450,4765,5401,4526,3654,2054,1302,2779,1461,838,632,576
1227,9254,3940,5940,1237,1875,2527,3159,485,1514,457,298,1296,349,105,88
1228,5058,4463,2804,278,1896,2403,913,1904,598,533,1296,471,355,273,215
1229,12080,369,143,10079,100,1737,7479,0,129,1008,0,91,912,0,0
1230,13313,8890,4168,3587,2190,3596,3985,1442,1204,1259,701,759,829,228,149
1231,9892,7218,7868,7315,2988,4755,2438,2971,1124,1212,2302,952,1045,603,589
1232,4653,4517,3334,1689,1580,2153,681,1114,784,87,795,453,58,30,17
1233,6698,3699,3088,1464,1510,3329,3019,667,1688,2079,503,1103,1580,412,353
1234,8532,6203,2819,1308,2424,2836,2981,789,1895,634,624,1479,405,296,213
1235,5355,3069,3972,132,1000,1908,2111,1048,771,994,547,554,741,251,192
1236,5633,3022,3612,1203,752,1769,1113,395,805,213,213,423,62,75,54
1237,8036,4896,4049,1258,2788,2248,3207,1405,1751,539,1155,1466,452,327,304
1238,3956,2495,2595,698,800,1459,1112,810,218,259,514,168,173,91,74
1239,5911,4762,769,106,1954,2910,355,1668,100,209,1055,64,44,44,44
